>> 4:09:42 |  61 0A 0A 	"a\n\n"
<< 4:09:42 |  55 44 42 31 32 31 30 53 0D 0A 	"UDB1210S\r\n"
>> 4:09:46 |  62 66 20 20 20 31 30 30 30 30 30 0A 0A 	"bf   100000\n\n"
<< 4:09:46 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:46 |  62 66 20 20 20 31 32 30 30 30 30 0A 0A 	"bf   120000\n\n"
<< 4:09:46 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:46 |  62 66 20 20 20 31 33 30 30 30 30 0A 0A 	"bf   130000\n\n"
<< 4:09:47 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:47 |  62 66 20 20 20 31 33 30 30 30 30 0A 0A 	"bf   130000\n\n"
<< 4:09:47 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:47 |  62 66 20 20 20 31 35 30 30 30 30 0A 0A 	"bf   150000\n\n"
<< 4:09:47 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:48 |  62 66 20 20 20 31 36 30 30 30 30 0A 0A 	"bf   160000\n\n"
<< 4:09:48 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:48 |  62 66 20 20 20 31 37 30 30 30 30 0A 0A 	"bf   170000\n\n"
<< 4:09:48 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:49 |  62 66 20 20 20 31 38 30 30 30 30 0A 0A 	"bf   180000\n\n"
<< 4:09:49 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:49 |  62 66 20 20 20 31 39 30 30 30 30 0A 0A 	"bf   190000\n\n"
<< 4:09:49 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:49 |  62 66 20 20 20 32 30 30 30 30 30 0A 0A 	"bf   200000\n\n"
<< 4:09:49 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:51 |  62 66 20 20 20 31 39 30 30 30 30 0A 0A 	"bf   190000\n\n"
<< 4:09:51 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:51 |  62 66 20 20 20 31 38 30 30 30 30 0A 0A 	"bf   180000\n\n"
<< 4:09:51 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:51 |  62 66 20 20 20 31 37 30 30 30 30 0A 0A 	"bf   170000\n\n"
<< 4:09:52 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:52 |  62 66 20 20 20 31 36 30 30 30 30 0A 0A 	"bf   160000\n\n"
<< 4:09:52 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:52 |  62 66 20 20 20 31 35 30 30 30 30 0A 0A 	"bf   150000\n\n"
<< 4:09:52 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:52 |  62 66 20 20 20 31 34 30 30 30 30 0A 0A 	"bf   140000\n\n"
<< 4:09:52 |  6F 	"o"
>> 4:09:53 |  62 66 20 20 20 31 33 30 30 30 30 0A 0A 	"bf   130000\n\n"
<< 4:09:53 |  6B 0D 0A 6F 6B 0D 0A 	"k\r\nok\r\n"
>> 4:09:53 |  62 66 20 20 20 31 32 30 30 30 30 0A 0A 	"bf   120000\n\n"
<< 4:09:53 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:53 |  62 66 20 20 20 31 31 30 30 30 30 0A 0A 	"bf   110000\n\n"
<< 4:09:53 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:09:54 |  62 66 20 20 20 31 30 30 30 30 30 0A 0A 	"bf   100000\n\n"
<< 4:09:54 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:07 |  62 75 33 0A 0A 	"bu3\n\n"
<< 4:10:07 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:07 |  62 66 20 20 31 30 30 30 30 30 30 0A 0A 	"bf  1000000\n\n"
<< 4:10:07 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:11 |  62 66 20 20 31 30 30 30 30 30 30 0A 0A 	"bf  1000000\n\n"
<< 4:10:11 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:11 |  62 66 20 20 31 30 30 30 30 30 30 0A 0A 	"bf  1000000\n\n"
<< 4:10:11 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:12 |  62 66 20 20 31 30 30 30 30 30 30 0A 0A 	"bf  1000000\n\n"
<< 4:10:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:12 |  62 66 20 20 31 30 30 30 30 30 30 0A 0A 	"bf  1000000\n\n"
<< 4:10:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:13 |  62 66 20 20 20 20 20 20 20 20 30 0A 0A 	"bf        0\n\n"
<< 4:10:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:13 |  62 66 20 20 20 20 20 20 20 20 30 0A 0A 	"bf        0\n\n"
<< 4:10:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:14 |  62 66 20 20 31 30 30 30 30 30 30 0A 0A 	"bf  1000000\n\n"
<< 4:10:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:22 |  62 66 20 20 20 20 20 20 20 20 30 0A 0A 	"bf        0\n\n"
<< 4:10:22 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:27 |  62 66 20 20 31 30 30 30 30 30 30 0A 0A 	"bf  1000000\n\n"
<< 4:10:27 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:38 |  62 75 31 0A 0A 	"bu1\n\n"
<< 4:10:38 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:38 |  62 66 20 20 20 20 31 30 30 30 30 0A 0A 	"bf    10000\n\n"
<< 4:10:38 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:41 |  62 66 20 20 20 20 20 20 20 20 30 0A 0A 	"bf        0\n\n"
<< 4:10:41 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:48 |  62 66 20 20 20 20 20 20 20 20 30 0A 0A 	"bf        0\n\n"
<< 4:10:48 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:10:53 |  62 66 20 20 20 20 20 20 20 20 31 0A 0A 	"bf        1\n\n"
<< 4:10:53 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:07 |  62 66 31 30 30 30 30 30 30 30 30 0A 0A 	"bf100000000\n\n"
<< 4:11:07 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:11 |  62 64 34 39 0A 0A 	"bd49\n\n"
<< 4:11:11 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:11 |  62 64 34 38 0A 0A 	"bd48\n\n"
<< 4:11:11 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:11 |  62 64 34 35 0A 0A 	"bd45\n\n"
<< 4:11:11 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:11 |  62 64 34 33 0A 0A 	"bd43\n\n"
<< 4:11:11 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:11 |  62 64 33 39 0A 0A 	"bd39\n\n"
<< 4:11:11 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 33 36 0A 0A 	"bd36\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 33 35 0A 0A 	"bd35\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 33 32 0A 0A 	"bd32\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 33 31 0A 0A 	"bd31\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 33 30 0A 0A 	"bd30\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 32 39 0A 0A 	"bd29\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 32 38 0A 0A 	"bd28\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 32 36 0A 0A 	"bd26\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 32 34 0A 0A 	"bd24\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 32 32 0A 0A 	"bd22\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 32 30 0A 0A 	"bd20\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 31 37 0A 0A 	"bd17\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 31 36 0A 0A 	"bd16\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 31 35 0A 0A 	"bd15\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 31 34 0A 0A 	"bd14\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 31 32 0A 0A 	"bd12\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 20 39 0A 0A 	"bd 9\n\n"
<< 4:11:12 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:12 |  62 64 20 35 0A 0A 	"bd 5\n\n"
>> 4:11:12 |  62 64 20 31 0A 0A 	"bd 1\n\n"
<< 4:11:12 |  6F 6B 0D 0A 6F 6B 0D 0A 	"ok\r\nok\r\n"
>> 4:11:13 |  62 64 20 32 0A 0A 	"bd 2\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 20 34 0A 0A 	"bd 4\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 31 30 0A 0A 	"bd10\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 31 35 0A 0A 	"bd15\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 32 31 0A 0A 	"bd21\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 32 37 0A 0A 	"bd27\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 33 31 0A 0A 	"bd31\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 33 36 0A 0A 	"bd36\n\n"
<< 4:11:13 |  6F 	"o"
>> 4:11:13 |  62 64 33 37 0A 0A 	"bd37\n\n"
<< 4:11:13 |  6B 0D 0A 6F 6B 0D 0A 	"k\r\nok\r\n"
>> 4:11:13 |  62 64 33 38 0A 0A 	"bd38\n\n"
<< 4:11:13 |  6F 	"o"
>> 4:11:13 |  62 64 33 39 0A 0A 	"bd39\n\n"
<< 4:11:13 |  6B 0D 0A 6F 6B 0D 0A 	"k\r\nok\r\n"
>> 4:11:13 |  62 64 34 31 0A 0A 	"bd41\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 34 34 0A 0A 	"bd44\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 34 37 0A 0A 	"bd47\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 35 30 0A 0A 	"bd50\n\n"
<< 4:11:13 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:13 |  62 64 35 33 0A 0A 	"bd53\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 35 36 0A 0A 	"bd56\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 35 39 0A 0A 	"bd59\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 36 32 0A 0A 	"bd62\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 36 35 0A 0A 	"bd65\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 37 30 0A 0A 	"bd70\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 37 36 0A 0A 	"bd76\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 38 35 0A 0A 	"bd85\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 39 39 0A 0A 	"bd99\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:14 |  62 64 39 38 0A 0A 	"bd98\n\n"
<< 4:11:14 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 39 37 0A 0A 	"bd97\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 39 36 0A 0A 	"bd96\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 39 35 0A 0A 	"bd95\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 39 34 0A 0A 	"bd94\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 39 33 0A 0A 	"bd93\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 39 32 0A 0A 	"bd92\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 39 30 0A 0A 	"bd90\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 38 38 0A 0A 	"bd88\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 38 37 0A 0A 	"bd87\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 38 36 0A 0A 	"bd86\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 38 37 0A 0A 	"bd87\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 38 38 0A 0A 	"bd88\n\n"
<< 4:11:15 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:15 |  62 64 38 39 0A 0A 	"bd89\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 30 0A 0A 	"bd90\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 32 0A 0A 	"bd92\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 33 0A 0A 	"bd93\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 34 0A 0A 	"bd94\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 35 0A 0A 	"bd95\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 36 0A 0A 	"bd96\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 38 0A 0A 	"bd98\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 39 0A 0A 	"bd99\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 38 0A 0A 	"bd98\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 39 0A 0A 	"bd99\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 38 0A 0A 	"bd98\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 37 0A 0A 	"bd97\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 38 0A 0A 	"bd98\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 37 0A 0A 	"bd97\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:16 |  62 64 39 39 0A 0A 	"bd99\n\n"
<< 4:11:16 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:17 |  62 64 39 38 0A 0A 	"bd98\n\n"
<< 4:11:17 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:17 |  62 64 39 37 0A 0A 	"bd97\n\n"
<< 4:11:17 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:17 |  62 64 39 36 0A 0A 	"bd96\n\n"
<< 4:11:17 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:18 |  62 64 39 35 0A 0A 	"bd95\n\n"
>> 4:11:18 |  62 64 39 34 0A 0A 	"bd94\n\n"
<< 4:11:18 |  6F 6B 0D 0A 6F 6B 0D 0A 	"ok\r\nok\r\n"
>> 4:11:18 |  62 64 39 35 0A 0A 	"bd95\n\n"
<< 4:11:18 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 39 36 0A 0A 	"bd96\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 39 35 0A 0A 	"bd95\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 39 34 0A 0A 	"bd94\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 39 33 0A 0A 	"bd93\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 39 32 0A 0A 	"bd92\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 39 31 0A 0A 	"bd91\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 38 39 0A 0A 	"bd89\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 38 37 0A 0A 	"bd87\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 38 35 0A 0A 	"bd85\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 38 34 0A 0A 	"bd84\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 38 32 0A 0A 	"bd82\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 37 35 0A 0A 	"bd75\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:19 |  62 64 37 33 0A 0A 	"bd73\n\n"
<< 4:11:19 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:20 |  62 64 37 32 0A 0A 	"bd72\n\n"
<< 4:11:20 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:20 |  62 64 37 31 0A 0A 	"bd71\n\n"
<< 4:11:20 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:20 |  62 64 37 32 0A 0A 	"bd72\n\n"
<< 4:11:20 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:20 |  62 64 37 31 0A 0A 	"bd71\n\n"
<< 4:11:20 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:21 |  62 64 37 30 0A 0A 	"bd70\n\n"
<< 4:11:21 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:21 |  62 64 36 39 0A 0A 	"bd69\n\n"
<< 4:11:21 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:21 |  62 64 37 30 0A 0A 	"bd70\n\n"
<< 4:11:21 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:21 |  62 64 37 31 0A 0A 	"bd71\n\n"
<< 4:11:21 |  6F 6B 0D 0A 	"ok\r\n"
>> 4:11:21 |  62 64 37 34 0A 0A 	"bd74\n\n"
